1559931445.000000, 1559931445.000000, 1559931445.000000
32.000000, 32.000000, 32.000000
-41,0,49
-41,0,49
-41,0,49
-40,0,50
-40,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,50
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-42,0,49
-41,0,49
-40,0,49
-40,0,50
-40,-1,49
-40,0,49
-41,0,49
-42,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,-1,49
-41,-1,49
-41,0,49
-41,-1,49
-42,-1,49
-41,-1,49
-41,-1,49
-41,-1,49
-41,-1,49
-42,-1,49
-41,-1,49
-41,0,49
-41,-1,49
-42,0,49
-41,0,49
-40,0,49
-40,0,50
-41,-1,49
-41,0,49
-41,0,49
-41,0,49
-41,-1,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,50
-41,0,50
-41,0,49
-41,0,49
-41,0,49
-41,0,50
-41,0,50
-40,0,50
-40,0,50
-40,0,50
-40,0,50
-40,0,50
-40,0,50
-40,0,50
-41,0,50
-41,0,49
-41,0,49
-41,0,49
-41,0,50
-40,0,50
-40,0,50
-40,0,50
-40,0,50
-41,0,50
-41,-1,49
-39,0,50
-39,0,50
-41,0,50
-41,0,49
-41,0,49
-40,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-42,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-41,0,49
-42,0,49
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-43,0,48
-43,0,48
-43,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,49
-42,0,48
-42,0,48
-42,0,49
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-43,0,48
-43,0,48
-42,0,48
-43,0,48
-43,0,48
-42,0,48
-42,0,48
-43,0,48
-43,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-42,0,48
-43,0,48
-43,0,48
-42,0,48
-42,0,48
-42,0,48
-43,0,48
-43,0,48
-42,0,48
-42,0,48
-43,0,48
-43,0,48
-42,1,48
-42,0,48
-43,1,48
-43,0,48
-43,1,48
-42,1,48
-43,0,48
-43,1,48
-43,1,47
-43,0,47
-43,0,47
-43,0,47
-43,1,47
-43,0,47
-43,1,48
-43,1,47
-43,0,47
-43,0,47
-43,0,47
-43,1,47
-43,1,47
-43,1,47
-43,0,48
